X,Y,U,V,T,
0.8175,0,0,0,0.120745,
0.8225,0,0,0,0.119673,
0.8275,0,0,0,0.118546,
0.8325,0,0,0,0.117358,
0.8375,0,0,0,0.116106,
0.8425,0,0,0,0.114784,
0.8475,0,0,0,0.113388,
0.8525,0,0,0,0.111913,
0.8575,0,0,0,0.110353,
0.8625,0,0,0,0.108703,
0.8675,0,0,0,0.106957,
0.8725,0,0,0,0.105108,
0.8775,0,0,0,0.103151,
0.8825,0,0,0,0.101079,
0.8875,0,0,0,0.0988851,
0.8925,0,0,0,0.0965618,
0.8975,0,0,0,0.0941021,
0.9025,0,0,0,0.0914983,
0.9075,0,0,0,0.0887428,
0.9125,0,0,0,0.085828,
0.9175,0,0,0,0.0827466,
0.9225,0,0,0,0.0794907,
0.9275,0,0,0,0.0760527,
0.9325,0,0,0,0.0724244,
0.9375,0,0,0,0.0685976,
0.9425,0,0,0,0.0645631,
0.9475,0,0,0,0.0603112,
0.9525,0,0,0,0.0558307,
0.9575,0,0,0,0.0511092,
0.9625,0,0,0,0.0461329,
0.9675,0,0,0,0.040887,
0.9725,0,0,0,0.0353571,
0.9775,0,0,0,0.0295314,
0.9825,0,0,0,0.0234057,
0.9875,0,0,0,0.0169894,
0.9925,0,0,0,0.010316,
0.9975,0,0,0,0.00345607,
1,0,0,0,0,
0,0.0025,0,0,1,
0.0025,0.0025,-0.00472092,0.00472092,0.903174,
0.0075,0.0025,-0.00752499,0.00560813,0.716393,
0.0125,0.0025,-0.0121507,0.0036433,0.556398,
0.0175,0.0025,-0.0146222,0.00129971,0.43344,
0.0225,0.0025,-0.0151414,-0.000261309,0.346224,
0.0275,0.0025,-0.0144669,-0.00108773,0.287287,
0.0325,0.0025,-0.013223,-0.00140013,0.248404,
0.0375,0.0025,-0.0118106,-0.00142457,0.222933,
0.0425,0.0025,-0.0104457,-0.00130524,0.206192,
0.0475,0.0025,-0.00922639,-0.0011334,0.195084,
0.0525,0.0025,-0.00818291,-0.000953561,0.187619,
0.0575,0.0025,-0.00731157,-0.000789125,0.182527,
0.0625,0.0025,-0.00659351,-0.000646994,0.178996,
0.0675,0.0025,-0.00600543,-0.000529172,0.176505,
0.0725,0.0025,-0.00552439,-0.000432906,0.174715,
0.0775,0.0025,-0.00513015,-0.000355572,0.173402,
0.0825,0.0025,-0.00480566,-0.000293409,0.172416,
0.0875,0.0025,-0.00453706,-0.000243784,0.171659,
0.0925,0.0025,-0.00431325,-0.000203851,0.171062,
0.0975,0.0025,-0.00412542,-0.000171794,0.170578,
0.1025,0.0025,-0.00396665,-0.000145748,0.170174,
0.1075,0.0025,-0.00383148,-0.000124601,0.169828,
0.1125,0.0025,-0.00371559,-0.000107181,0.169524,
0.1175,0.0025,-0.00361558,-9.28365e-05,0.16925,
0.1225,0.0025,-0.00352874,-8.08348e-05,0.168998,
0.1275,0.0025,-0.00345292,-7.08019e-05,0.168762,
0.1325,0.0025,-0.00338639,-6.22696e-05,0.168539,
0.1375,0.0025,-0.00332774,-5.50248e-05,0.168324,
0.1425,0.0025,-0.00327585,-4.87602e-05,0.168116,
0.1475,0.0025,-0.00322979,-4.3355e-05,0.167912,
0.1525,0.0025,-0.00318881,-3.86008e-05,0.167713,
