x,y,u,v,p
3.525,-0.5,0,0,0.06112943
3.55,-0.5,0,0,0.06378682
3.575,-0.5,0,0,0.06643884
3.6,-0.5,0,0,0.06908219
3.625,-0.5,0,0,0.07171358
3.65,-0.5,0,0,0.07432963
3.675,-0.5,0,0,0.07692692
3.7,-0.5,0,0,0.07950209
3.725,-0.5,0,0,0.08205174
3.75,-0.5,0,0,0.08457254
3.775,-0.5,0,0,0.08706118
3.8,-0.5,0,0,0.08951439
3.825,-0.5,0,0,0.09192906
3.85,-0.5,0,0,0.09430214
3.875,-0.5,0,0,0.09663071
3.9,-0.5,0,0,0.09891196
3.925,-0.5,0,0,0.1011432
3.95,-0.5,0,0,0.1033221
3.975,-0.5,0,0,0.1054462
4,-0.5,0,0,0.1075135
4.025,-0.5,0,0,0.1095221
4.05,-0.5,0,0,0.1114703
4.075,-0.5,0,0,0.1133564
4.1,-0.5,0,0,0.1151794
4.125,-0.5,0,0,0.1169382
4.15,-0.5,0,0,0.118632
4.175,-0.5,0,0,0.1202601
4.2,-0.5,0,0,0.1218222
4.225,-0.5,0,0,0.1233181
4.25,-0.5,0,0,0.124748
4.275,-0.5,0,0,0.126112
4.3,-0.5,0,0,0.1274107
4.325,-0.5,0,0,0.1286446
4.35,-0.5,0,0,0.1298147
4.375,-0.5,0,0,0.130922
4.4,-0.5,0,0,0.1319677
4.425,-0.5,0,0,0.132953
4.45,-0.5,0,0,0.1338795
4.475,-0.5,0,0,0.1347488
4.5,-0.5,0,0,0.1355625
4.525,-0.5,0,0,0.1363225
4.55,-0.5,0,0,0.1370306
4.575,-0.5,0,0,0.1376887
4.6,-0.5,0,0,0.138299
4.625,-0.5,0,0,0.1388634
4.65,-0.5,0,0,0.1393842
4.675,-0.5,0,0,0.1398632
4.7,-0.5,0,0,0.1403027
4.725,-0.5,0,0,0.1407049
4.75,-0.5,0,0,0.1410718
4.775,-0.5,0,0,0.1414055
4.8,-0.5,0,0,0.1417081
4.825,-0.5,0,0,0.1419816
4.85,-0.5,0,0,0.1422282
4.875,-0.5,0,0,0.1424496
4.9,-0.5,0,0,0.1426477
4.925,-0.5,0,0,0.1428245
4.95,-0.5,0,0,0.1429816
4.975,-0.5,0,0,0.1431208
5,-0.5,0,0,0.1432438
5.025,-0.5,0,0,0.1433521
5.05,-0.5,0,0,0.1434473
5.075,-0.5,0,0,0.1435306
5.1,-0.5,0,0,0.1436035
5.125,-0.5,0,0,0.1436673
5.15,-0.5,0,0,0.1437232
5.175,-0.5,0,0,0.1437724
5.2,-0.5,0,0,0.1438157
5.225,-0.5,0,0,0.1438543
5.25,-0.5,0,0,0.1438892
5.275,-0.5,0,0,0.1439211
5.3,-0.5,0,0,0.1439507
5.325,-0.5,0,0,0.1439789
5.35,-0.5,0,0,0.1440063
5.375,-0.5,0,0,0.1440336
5.4,-0.5,0,0,0.1440611
5.425,-0.5,0,0,0.1440896
5.45,-0.5,0,0,0.1441193
5.475,-0.5,0,0,0.1441507
5.5,-0.5,0,0,0.1441841
5.525,-0.5,0,0,0.1442199
5.55,-0.5,0,0,0.1442582
5.575,-0.5,0,0,0.1442994
5.6,-0.5,0,0,0.1443435
5.625,-0.5,0,0,0.1443909
5.65,-0.5,0,0,0.1444414
5.675,-0.5,0,0,0.1444954
5.7,-0.5,0,0,0.1445528
5.725,-0.5,0,0,0.1446135
5.75,-0.5,0,0,0.1446778
5.775,-0.5,0,0,0.1447456
5.8,-0.5,0,0,0.1448168
5.825,-0.5,0,0,0.1448914
5.85,-0.5,0,0,0.1449694
5.875,-0.5,0,0,0.1450506
5.9,-0.5,0,0,0.145135
5.925,-0.5,0,0,0.1452224
5.95,-0.5,0,0,0.1453128
5.975,-0.5,0,0,0.145406
6,-0.5,0,0,0.1455019
6.025,-0.5,0,0,0.1456005
6.05,-0.5,0,0,0.1457015
6.075,-0.5,0,0,0.1458047
6.1,-0.5,0,0,0.1459101
6.125,-0.5,0,0,0.1460174
6.15,-0.5,0,0,0.1461266
6.175,-0.5,0,0,0.1462374
6.2,-0.5,0,0,0.1463498
6.225,-0.5,0,0,0.1464634
6.25,-0.5,0,0,0.1465783
6.275,-0.5,0,0,0.146694
6.3,-0.5,0,0,0.1468108
6.325,-0.5,0,0,0.1469281
6.35,-0.5,0,0,0.1470459
6.375,-0.5,0,0,0.1471642
6.4,-0.5,0,0,0.1472827
6.425,-0.5,0,0,0.1474012
6.45,-0.5,0,0,0.1475195
6.475,-0.5,0,0,0.1476377
6.5,-0.5,0,0,0.1477554
6.525,-0.5,0,0,0.1478727
6.55,-0.5,0,0,0.1479893
6.575,-0.5,0,0,0.148105
6.6,-0.5,0,0,0.1482197
6.625,-0.5,0,0,0.1483334
6.65,-0.5,0,0,0.1484458
6.675,-0.5,0,0,0.1485569
6.7,-0.5,0,0,0.1486665
6.725,-0.5,0,0,0.1487746
6.75,-0.5,0,0,0.148881
6.775,-0.5,0,0,0.1489857
6.8,-0.5,0,0,0.1490884
6.825,-0.5,0,0,0.149189
6.85,-0.5,0,0,0.1492876
6.875,-0.5,0,0,0.149384
6.9,-0.5,0,0,0.149478
6.925,-0.5,0,0,0.1495697
6.95,-0.5,0,0,0.149659
6.975,-0.5,0,0,0.1497457
7,-0.5,0,0,0.1498298
7.025,-0.5,0,0,0.1499112
7.05,-0.5,0,0,0.1499898
7.075,-0.5,0,0,0.1500655
7.1,-0.5,0,0,0.1501385
7.125,-0.5,0,0,0.1502084
7.15,-0.5,0,0,0.1502753
7.175,-0.5,0,0,0.1503391
7.2,-0.5,0,0,0.1503998
7.225,-0.5,0,0,0.1504574
7.25,-0.5,0,0,0.1505117
7.275,-0.5,0,0,0.1505627
7.3,-0.5,0,0,0.1506104
7.325,-0.5,0,0,0.1506549
7.35,-0.5,0,0,0.1506958
7.375,-0.5,0,0,0.1507335
7.4,-0.5,0,0,0.1507677
7.425,-0.5,0,0,0.1507984
7.45,-0.5,0,0,0.1508256
7.475,-0.5,0,0,0.1508494
7.5,-0.5,0,0,0.1508697
7.525,-0.5,0,0,0.1508864
7.55,-0.5,0,0,0.1508995
7.575,-0.5,0,0,0.150909
7.6,-0.5,0,0,0.1509149
7.625,-0.5,0,0,0.1509173
7.65,-0.5,0,0,0.1509161
7.675,-0.5,0,0,0.1509112
7.7,-0.5,0,0,0.1509028
7.725,-0.5,0,0,0.1508908
7.75,-0.5,0,0,0.1508751
7.775,-0.5,0,0,0.1508559
7.8,-0.5,0,0,0.150833
7.825,-0.5,0,0,0.1508066
7.85,-0.5,0,0,0.1507765
7.875,-0.5,0,0,0.1507429
7.9,-0.5,0,0,0.1507057
7.925,-0.5,0,0,0.150665
7.95,-0.5,0,0,0.1506207
7.975,-0.5,0,0,0.1505729
8,-0.5,0,0,0.1505215
8.025,-0.5,0,0,0.1504667
8.05,-0.5,0,0,0.1504084
8.075,-0.5,0,0,0.1503465
8.1,-0.5,0,0,0.1502813
8.125,-0.5,0,0,0.1502127
8.15,-0.5,0,0,0.1501406
8.175,-0.5,0,0,0.1500652
8.2,-0.5,0,0,0.1499864
8.225,-0.5,0,0,0.1499042
8.25,-0.5,0,0,0.1498187
8.275,-0.5,0,0,0.14973
8.3,-0.5,0,0,0.149638
8.325,-0.5,0,0,0.1495428
8.35,-0.5,0,0,0.1494443
8.375,-0.5,0,0,0.1493427
8.4,-0.5,0,0,0.1492379
8.425,-0.5,0,0,0.14913
8.45,-0.5,0,0,0.149019
8.475,-0.5,0,0,0.148905
8.5,-0.5,0,0,0.1487879
8.525,-0.5,0,0,0.1486678
8.55,-0.5,0,0,0.1485448
8.575,-0.5,0,0,0.1484188
8.6,-0.5,0,0,0.1482898
8.625,-0.5,0,0,0.148158
8.65,-0.5,0,0,0.1480233
8.675,-0.5,0,0,0.1478858
8.7,-0.5,0,0,0.1477455
8.725,-0.5,0,0,0.1476024
8.75,-0.5,0,0,0.1474566
8.775,-0.5,0,0,0.1473082
8.8,-0.5,0,0,0.147157
8.825,-0.5,0,0,0.1470032
8.85,-0.5,0,0,0.1468468
8.875,-0.5,0,0,0.1466879
8.9,-0.5,0,0,0.1465264
8.925,-0.5,0,0,0.1463623
8.95,-0.5,0,0,0.1461958
8.975,-0.5,0,0,0.1460269
9,-0.5,0,0,0.1458555
9.025,-0.5,0,0,0.1456818
9.05,-0.5,0,0,0.1455057
9.075,-0.5,0,0,0.1453272
9.1,-0.5,0,0,0.1451464
9.125,-0.5,0,0,0.1449634
9.15,-0.5,0,0,0.1447781
9.175,-0.5,0,0,0.1445907
9.2,-0.5,0,0,0.144401
9.225,-0.5,0,0,0.1442092
9.25,-0.5,0,0,0.1440153
9.275,-0.5,0,0,0.1438193
9.3,-0.5,0,0,0.1436211
9.325,-0.5,0,0,0.143421
9.35,-0.5,0,0,0.1432188
9.375,-0.5,0,0,0.1430147
9.4,-0.5,0,0,0.1428086
9.425,-0.5,0,0,0.1426005
9.45,-0.5,0,0,0.1423905
9.475,-0.5,0,0,0.1421787
9.5,-0.5,0,0,0.141965
9.525,-0.5,0,0,0.1417495
9.55,-0.5,0,0,0.1415321
9.575,-0.5,0,0,0.141313
9.6,-0.5,0,0,0.1410921
9.625,-0.5,0,0,0.1408694
9.65,-0.5,0,0,0.1406451
9.675,-0.5,0,0,0.1404191
9.7,-0.5,0,0,0.1401914
9.725,-0.5,0,0,0.139962
9.75,-0.5,0,0,0.1397311
9.775,-0.5,0,0,0.1394985
9.8,-0.5,0,0,0.1392644
9.825,-0.5,0,0,0.1390288
9.85,-0.5,0,0,0.1387915
9.875,-0.5,0,0,0.1385528
9.9,-0.5,0,0,0.1383125
9.925,-0.5,0,0,0.1380707
9.95,-0.5,0,0,0.1378275
9.975,-0.5,0,0,0.1375829
10,-0.5,0,0,0.1373369
10.025,-0.5,0,0,0.1370894
10.05,-0.5,0,0,0.1368406
10.075,-0.5,0,0,0.1365905
10.1,-0.5,0,0,0.1363389
10.125,-0.5,0,0,0.136086
10.15,-0.5,0,0,0.1358319
10.175,-0.5,0,0,0.1355765
10.2,-0.5,0,0,0.1353197
10.225,-0.5,0,0,0.1350617
10.25,-0.5,0,0,0.1348025
10.275,-0.5,0,0,0.134542
10.3,-0.5,0,0,0.1342804
10.325,-0.5,0,0,0.1340174
10.35,-0.5,0,0,0.1337534
10.375,-0.5,0,0,0.1334881
10.4,-0.5,0,0,0.1332218
10.425,-0.5,0,0,0.1329543
10.45,-0.5,0,0,0.1326856
10.475,-0.5,0,0,0.1324158
10.5,-0.5,0,0,0.132145
10.525,-0.5,0,0,0.1318731
10.55,-0.5,0,0,0.1316001
10.575,-0.5,0,0,0.131326
10.6,-0.5,0,0,0.1310509
10.625,-0.5,0,0,0.1307747
10.65,-0.5,0,0,0.1304975
10.675,-0.5,0,0,0.1302194
10.7,-0.5,0,0,0.1299402
10.725,-0.5,0,0,0.1296601
10.75,-0.5,0,0,0.129379
10.775,-0.5,0,0,0.1290969
10.8,-0.5,0,0,0.1288139
10.825,-0.5,0,0,0.12853
10.85,-0.5,0,0,0.1282451
10.875,-0.5,0,0,0.1279593
10.9,-0.5,0,0,0.1276726
10.925,-0.5,0,0,0.1273849
10.95,-0.5,0,0,0.1270964
10.975,-0.5,0,0,0.1268071
11,-0.5,0,0,0.1265169
11.025,-0.5,0,0,0.1262259
11.05,-0.5,0,0,0.1259339
11.075,-0.5,0,0,0.1256412
11.1,-0.5,0,0,0.1253476
11.125,-0.5,0,0,0.1250532
11.15,-0.5,0,0,0.124758
11.175,-0.5,0,0,0.1244619
11.2,-0.5,0,0,0.1241651
11.225,-0.5,0,0,0.1238675
11.25,-0.5,0,0,0.1235693
11.275,-0.5,0,0,0.1232702
11.3,-0.5,0,0,0.1229703
11.325,-0.5,0,0,0.1226696
11.35,-0.5,0,0,0.1223682
11.375,-0.5,0,0,0.1220662
11.4,-0.5,0,0,0.1217634
11.425,-0.5,0,0,0.1214598
11.45,-0.5,0,0,0.1211556
11.475,-0.5,0,0,0.1208506
11.5,-0.5,0,0,0.120545
11.525,-0.5,0,0,0.1202388
11.55,-0.5,0,0,0.1199317
11.575,-0.5,0,0,0.1196241
11.6,-0.5,0,0,0.1193157
11.625,-0.5,0,0,0.1190068
11.65,-0.5,0,0,0.1186972
11.675,-0.5,0,0,0.1183869
11.7,-0.5,0,0,0.118076
11.725,-0.5,0,0,0.1177644
11.75,-0.5,0,0,0.1174522
11.775,-0.5,0,0,0.1171395
11.8,-0.5,0,0,0.116826
11.825,-0.5,0,0,0.116512
11.85,-0.5,0,0,0.1161975
11.875,-0.5,0,0,0.1158824
11.9,-0.5,0,0,0.1155666
11.925,-0.5,0,0,0.1152502
11.95,-0.5,0,0,0.1149333
11.975,-0.5,0,0,0.1146158
12,-0.5,0,0,0.1142977
12.025,-0.5,0,0,0.1139792
12.05,-0.5,0,0,0.1136599
12.075,-0.5,0,0,0.1133403
12.1,-0.5,0,0,0.11302
12.125,-0.5,0,0,0.1126992
12.15,-0.5,0,0,0.1123779
12.175,-0.5,0,0,0.112056
12.2,-0.5,0,0,0.1117337
