x,y,u,v,p,
4.6875,0,0,0,0.968395,
4.7125,0,0,0,0.964554,
4.7375,0,0,0,0.960599,
4.7625,0,0,0,0.956516,
4.7875,0,0,0,0.952291,
4.8125,0,0,0,0.947906,
4.8375,0,0,0,0.943347,
4.8625,0,0,0,0.938597,
4.8875,0,0,0,0.933638,
4.9125,0,0,0,0.928454,
4.9375,0,0,0,0.923025,
4.9625,0,0,0,0.917334,
4.9875,0,0,0,0.911362,
5.0125,0,0,0,0.90509,
5.0375,0,0,0,0.8985,
5.0625,0,0,0,0.891572,
5.0875,0,0,0,0.884289,
5.1125,0,0,0,0.876632,
5.1375,0,0,0,0.868584,
5.1625,0,0,0,0.860129,
5.1875,0,0,0,0.851251,
5.2125,0,0,0,0.841936,
5.2375,0,0,0,0.83217,
5.2625,0,0,0,0.821944,
5.2875,0,0,0,0.811248,
5.3125,0,0,0,0.800076,
5.3375,0,0,0,0.788423,
5.3625,0,0,0,0.776287,
5.3875,0,0,0,0.76367,
5.4125,0,0,0,0.750575,
5.4375,0,0,0,0.73701,
5.4625,0,0,0,0.722984,
5.4875,0,0,0,0.70851,
5.5125,0,0,0,0.693605,
5.5375,0,0,0,0.678288,
5.5625,0,0,0,0.662581,
5.5875,0,0,0,0.646508,
5.6125,0,0,0,0.630096,
5.6375,0,0,0,0.613375,
5.6625,0,0,0,0.596375,
5.6875,0,0,0,0.579129,
5.7125,0,0,0,0.561672,
5.7375,0,0,0,0.544039,
5.7625,0,0,0,0.526264,
5.7875,0,0,0,0.508385,
5.8125,0,0,0,0.490437,
5.8375,0,0,0,0.472456,
5.8625,0,0,0,0.454478,
5.8875,0,0,0,0.436537,
5.9125,0,0,0,0.418666,
5.9375,0,0,0,0.400898,
5.9625,0,0,0,0.383265,
5.9875,0,0,0,0.365794,
6.0125,0,0,0,0.348516,
6.0375,0,0,0,0.331455,
6.0625,0,0,0,0.314638,
6.0875,0,0,0,0.298086,
6.1125,0,0,0,0.281821,
6.1375,0,0,0,0.265862,
6.1625,0,0,0,0.250228,
6.1875,0,0,0,0.234934,
6.2125,0,0,0,0.219996,
6.2375,0,0,0,0.205425,
6.2625,0,0,0,0.191233,
6.2875,0,0,0,0.177431,
6.3125,0,0,0,0.164026,
6.3375,0,0,0,0.151025,
6.3625,0,0,0,0.138435,
6.3875,0,0,0,0.12626,
6.4125,0,0,0,0.114502,
6.4375,0,0,0,0.103164,
6.4625,0,0,0,0.092247,
6.4875,0,0,0,0.0817505,
6.5125,0,0,0,0.0716735,
6.5375,0,0,0,0.0620139,
6.5625,0,0,0,0.0527685,
6.5875,0,0,0,0.0439335,
6.6125,0,0,0,0.0355044,
6.6375,0,0,0,0.0274757,
6.6625,0,0,0,0.0198414,
6.6875,0,0,0,0.0125949,
6.7125,0,0,0,0.00572903,
6.7375,0,0,0,-0.000763892,
6.7625,0,0,0,-0.00689194,
6.7875,0,0,0,-0.0126636,
6.8125,0,0,0,-0.0180875,
6.8375,0,0,0,-0.0231727,
6.8625,0,0,0,-0.0279285,
6.8875,0,0,0,-0.0323641,
6.9125,0,0,0,-0.036489,
6.9375,0,0,0,-0.0403126,
6.9625,0,0,0,-0.0438446,
6.9875,0,0,0,-0.0470942,
7.0125,0,0,0,-0.0500711,
7.0375,0,0,0,-0.0527844,
7.0625,0,0,0,-0.0552435,
7.0875,0,0,0,-0.0574572,
7.1125,0,0,0,-0.0594347,
7.1375,0,0,0,-0.0611845,
7.1625,0,0,0,-0.0627153,
7.1875,0,0,0,-0.0640354,
7.2125,0,0,0,-0.0651529,
7.2375,0,0,0,-0.0660757,
7.2625,0,0,0,-0.0668115,
7.2875,0,0,0,-0.0673679,
7.3125,0,0,0,-0.067752,
7.3375,0,0,0,-0.067971,
7.3625,0,0,0,-0.0680316,
7.3875,0,0,0,-0.0679405,
7.4125,0,0,0,-0.0677041,
7.4375,0,0,0,-0.0673285,
7.4625,0,0,0,-0.0668199,
7.4875,0,0,0,-0.0661839,
7.5125,0,0,0,-0.0654262,
7.5375,0,0,0,-0.0645523,
7.5625,0,0,0,-0.0635673,
7.5875,0,0,0,-0.0624765,
7.6125,0,0,0,-0.0612846,
7.6375,0,0,0,-0.0599964,
7.6625,0,0,0,-0.0586165,
7.6875,0,0,0,-0.0571494,
7.7125,0,0,0,-0.0555993,
7.7375,0,0,0,-0.0539705,
7.7625,0,0,0,-0.0522669,
7.7875,0,0,0,-0.0504923,
7.8125,0,0,0,-0.0486507,
7.8375,0,0,0,-0.0467455,
7.8625,0,0,0,-0.0447803,
7.8875,0,0,0,-0.0427585,
7.9125,0,0,0,-0.0406834,
7.9375,0,0,0,-0.0385582,
7.9625,0,0,0,-0.0363859,
7.9875,0,0,0,-0.0341695,
8.0125,0,0,0,-0.0319119,
8.0375,0,0,0,-0.0296158,
8.0625,0,0,0,-0.0272839,
8.0875,0,0,0,-0.0249189,
8.1125,0,0,0,-0.0225231,
8.1375,0,0,0,-0.0200991,
8.1625,0,0,0,-0.0176492,
8.1875,0,0,0,-0.0151755,
8.2125,0,0,0,-0.0126804,
8.2375,0,0,0,-0.0101659,
8.2625,0,0,0,-0.00763394,
8.2875,0,0,0,-0.00508657,
8.3125,0,0,0,-0.00252565,
8.3375,0,0,0,4.70146e-05,
8.3625,0,0,0,0.00262967,
8.3875,0,0,0,0.00522064,
8.4125,0,0,0,0.00781831,
8.4375,0,0,0,0.0104211,
8.4625,0,0,0,0.0130275,
8.4875,0,0,0,0.0156362,
8.5125,0,0,0,0.0182456,
8.5375,0,0,0,0.0208546,
8.5625,0,0,0,0.0234617,
8.5875,0,0,0,0.0260658,
8.6125,0,0,0,0.0286658,
8.6375,0,0,0,0.0312604,
8.6625,0,0,0,0.0338486,
8.6875,0,0,0,0.0364294,
8.7125,0,0,0,0.0390017,
8.7375,0,0,0,0.0415647,
8.7625,0,0,0,0.0441175,
8.7875,0,0,0,0.0466591,
8.8125,0,0,0,0.0491887,
8.8375,0,0,0,0.0517056,
8.8625,0,0,0,0.054209,
8.8875,0,0,0,0.0566982,
8.9125,0,0,0,0.0591725,
8.9375,0,0,0,0.0616313,
8.9625,0,0,0,0.0640739,
8.9875,0,0,0,0.0664999,
9.0125,0,0,0,0.0689085,
9.0375,0,0,0,0.0712994,
9.0625,0,0,0,0.0736719,
9.0875,0,0,0,0.0760257,
9.1125,0,0,0,0.0783603,
9.1375,0,0,0,0.0806753,
9.1625,0,0,0,0.0829703,
9.1875,0,0,0,0.0852449,
9.2125,0,0,0,0.0874987,
9.2375,0,0,0,0.0897316,
9.2625,0,0,0,0.0919431,
9.2875,0,0,0,0.0941329,
9.3125,0,0,0,0.0963009,
9.3375,0,0,0,0.0984467,
9.3625,0,0,0,0.10057,
9.3875,0,0,0,0.102671,
9.4125,0,0,0,0.104749,
9.4375,0,0,0,0.106804,
9.4625,0,0,0,0.108837,
9.4875,0,0,0,0.110845,
9.5125,0,0,0,0.112831,
9.5375,0,0,0,0.114793,
9.5625,0,0,0,0.116731,
9.5875,0,0,0,0.118646,
9.6125,0,0,0,0.120537,
9.6375,0,0,0,0.122404,
9.6625,0,0,0,0.124247,
9.6875,0,0,0,0.126066,
9.7125,0,0,0,0.127862,
9.7375,0,0,0,0.129633,
9.7625,0,0,0,0.13138,
9.7875,0,0,0,0.133103,
9.8125,0,0,0,0.134802,
9.8375,0,0,0,0.136477,
9.8625,0,0,0,0.138128,
9.8875,0,0,0,0.139756,
9.9125,0,0,0,0.141359,
9.9375,0,0,0,0.142938,
9.9625,0,0,0,0.144493,
9.9875,0,0,0,0.146025,
10.0125,0,0,0,0.147532,
10.0375,0,0,0,0.149016,
10.0625,0,0,0,0.150477,
10.0875,0,0,0,0.151914,
10.1125,0,0,0,0.153327,
10.1375,0,0,0,0.154717,
10.1625,0,0,0,0.156083,
10.1875,0,0,0,0.157427,
10.2125,0,0,0,0.158747,
10.2375,0,0,0,0.160044,
10.2625,0,0,0,0.161318,
10.2875,0,0,0,0.16257,
10.3125,0,0,0,0.163798,
10.3375,0,0,0,0.165004,
10.3625,0,0,0,0.166188,
10.3875,0,0,0,0.167349,
10.4125,0,0,0,0.168488,
10.4375,0,0,0,0.169605,
10.4625,0,0,0,0.1707,
10.4875,0,0,0,0.171773,
10.5125,0,0,0,0.172825,
10.5375,0,0,0,0.173855,
10.5625,0,0,0,0.174863,
10.5875,0,0,0,0.17585,
10.6125,0,0,0,0.176816,
10.6375,0,0,0,0.177761,
10.6625,0,0,0,0.178685,
10.6875,0,0,0,0.179588,
10.7125,0,0,0,0.180471,
10.7375,0,0,0,0.181334,
10.7625,0,0,0,0.182176,
10.7875,0,0,0,0.182998,
10.8125,0,0,0,0.1838,
10.8375,0,0,0,0.184583,
10.8625,0,0,0,0.185345,
10.8875,0,0,0,0.186089,
10.9125,0,0,0,0.186813,
10.9375,0,0,0,0.187518,
10.9625,0,0,0,0.188203,
10.9875,0,0,0,0.188871,
11.0125,0,0,0,0.189519,
11.0375,0,0,0,0.190149,
11.0625,0,0,0,0.190761,
11.0875,0,0,0,0.191354,
11.1125,0,0,0,0.19193,
11.1375,0,0,0,0.192488,
11.1625,0,0,0,0.193028,
11.1875,0,0,0,0.193551,
11.2125,0,0,0,0.194056,
11.2375,0,0,0,0.194545,
11.2625,0,0,0,0.195016,
11.2875,0,0,0,0.19547,
11.3125,0,0,0,0.195908,
11.3375,0,0,0,0.19633,
11.3625,0,0,0,0.196735,
11.3875,0,0,0,0.197124,
11.4125,0,0,0,0.197498,
11.4375,0,0,0,0.197855,
11.4625,0,0,0,0.198197,
11.4875,0,0,0,0.198524,
11.5125,0,0,0,0.198835,
11.5375,0,0,0,0.199131,
11.5625,0,0,0,0.199412,
11.5875,0,0,0,0.199679,
11.6125,0,0,0,0.199931,
11.6375,0,0,0,0.200169,
11.6625,0,0,0,0.200392,
11.6875,0,0,0,0.200602,
11.7125,0,0,0,0.200797,
11.7375,0,0,0,0.200979,
11.7625,0,0,0,0.201147,
11.7875,0,0,0,0.201302,
11.8125,0,0,0,0.201443,
11.8375,0,0,0,0.201572,
11.8625,0,0,0,0.201688,
11.8875,0,0,0,0.201791,
11.9125,0,0,0,0.201881,
11.9375,0,0,0,0.201959,
11.9625,0,0,0,0.202025,
11.9875,0,0,0,0.202078,
12.0125,0,0,0,0.20212,
12.0375,0,0,0,0.20215,
12.0625,0,0,0,0.202168,
12.0875,0,0,0,0.202175,
12.1125,0,0,0,0.202171,
12.1375,0,0,0,0.202156,
12.1625,0,0,0,0.202129,
12.1875,0,0,0,0.202092,
12.2125,0,0,0,0.202044,
12.2375,0,0,0,0.201985,
12.2625,0,0,0,0.201916,
12.2875,0,0,0,0.201837,
12.3125,0,0,0,0.201748,
12.3375,0,0,0,0.201649,
12.3625,0,0,0,0.20154,
12.3875,0,0,0,0.201421,
12.4125,0,0,0,0.201293,
12.4375,0,0,0,0.201155,
12.4625,0,0,0,0.201009,
12.4875,0,0,0,0.200853,
12.5125,0,0,0,0.200688,
12.5375,0,0,0,0.200515,
12.5625,0,0,0,0.200332,
12.5875,0,0,0,0.200142,
12.6125,0,0,0,0.199942,
12.6375,0,0,0,0.199735,
12.6625,0,0,0,0.199519,
12.6875,0,0,0,0.199295,
12.7125,0,0,0,0.199064,
12.7375,0,0,0,0.198824,
12.7625,0,0,0,0.198577,
12.7875,0,0,0,0.198323,
12.8125,0,0,0,0.198061,
12.8375,0,0,0,0.197792,
12.8625,0,0,0,0.197515,
12.8875,0,0,0,0.197232,
12.9125,0,0,0,0.196941,
12.9375,0,0,0,0.196644,
12.9625,0,0,0,0.19634,
12.9875,0,0,0,0.19603,
13.0125,0,0,0,0.195713,
13.0375,0,0,0,0.195389,
13.0625,0,0,0,0.19506,
13.0875,0,0,0,0.194724,
13.1125,0,0,0,0.194382,
13.1375,0,0,0,0.194034,
13.1625,0,0,0,0.193681,
13.1875,0,0,0,0.193321,
13.2125,0,0,0,0.192956,
13.2375,0,0,0,0.192586,
13.2625,0,0,0,0.19221,
13.2875,0,0,0,0.191828,
13.3125,0,0,0,0.191442,
13.3375,0,0,0,0.19105,
13.3625,0,0,0,0.190653,
13.3875,0,0,0,0.190251,
13.4125,0,0,0,0.189844,
13.4375,0,0,0,0.189433,
13.4625,0,0,0,0.189016,
13.4875,0,0,0,0.188595,
13.5125,0,0,0,0.18817,
13.5375,0,0,0,0.18774,
13.5625,0,0,0,0.187306,
13.5875,0,0,0,0.186867,
13.6125,0,0,0,0.186424,
13.6375,0,0,0,0.185977,
13.6625,0,0,0,0.185526,
13.6875,0,0,0,0.185071,
13.7125,0,0,0,0.184612,
13.7375,0,0,0,0.184149,
13.7625,0,0,0,0.183683,
13.7875,0,0,0,0.183212,
13.8125,0,0,0,0.182738,
13.8375,0,0,0,0.182261,
13.8625,0,0,0,0.18178,
13.8875,0,0,0,0.181296,
13.9125,0,0,0,0.180808,
13.9375,0,0,0,0.180317,
13.9625,0,0,0,0.179822,
13.9875,0,0,0,0.179325,
14.0125,0,0,0,0.178824,
14.0375,0,0,0,0.178321,
14.0625,0,0,0,0.177814,
14.0875,0,0,0,0.177305,
14.1125,0,0,0,0.176792,
14.1375,0,0,0,0.176277,
14.1625,0,0,0,0.175759,
14.1875,0,0,0,0.175238,
14.2125,0,0,0,0.174715,
14.2375,0,0,0,0.174189,
14.2625,0,0,0,0.173661,
14.2875,0,0,0,0.17313,
14.3125,0,0,0,0.172596,
14.3375,0,0,0,0.172061,
14.3625,0,0,0,0.171522,
14.3875,0,0,0,0.170982,
14.4125,0,0,0,0.170439,
14.4375,0,0,0,0.169894,
14.4625,0,0,0,0.169347,
14.4875,0,0,0,0.168798,
14.5125,0,0,0,0.168247,
14.5375,0,0,0,0.167694,
14.5625,0,0,0,0.167138,
14.5875,0,0,0,0.166581,
14.6125,0,0,0,0.166022,
14.6375,0,0,0,0.165461,
14.6625,0,0,0,0.164898,
14.6875,0,0,0,0.164334,
14.7125,0,0,0,0.163768,
14.7375,0,0,0,0.1632,
14.7625,0,0,0,0.16263,
14.7875,0,0,0,0.162059,
14.8125,0,0,0,0.161486,
14.8375,0,0,0,0.160911,
14.8625,0,0,0,0.160335,
14.8875,0,0,0,0.159758,
14.9125,0,0,0,0.159179,
14.9375,0,0,0,0.158598,
14.9625,0,0,0,0.158016,
14.9875,0,0,0,0.157433,
15.0125,0,0,0,0.156849,
15.0375,0,0,0,0.156263,
15.0625,0,0,0,0.155675,
15.0875,0,0,0,0.155087,
15.1125,0,0,0,0.154497,
15.1375,0,0,0,0.153907,
15.1625,0,0,0,0.153315,
15.1875,0,0,0,0.152721,
15.2125,0,0,0,0.152127,
15.2375,0,0,0,0.151532,
15.2625,0,0,0,0.150935,
15.2875,0,0,0,0.150338,
15.3125,0,0,0,0.149739,
15.3375,0,0,0,0.14914,
15.3625,0,0,0,0.148539,
15.3875,0,0,0,0.147938,
15.4125,0,0,0,0.147336,
15.4375,0,0,0,0.146733,
15.4625,0,0,0,0.146128,
15.4875,0,0,0,0.145523,
15.5125,0,0,0,0.144918,
15.5375,0,0,0,0.144311,
15.5625,0,0,0,0.143704,
15.5875,0,0,0,0.143095,
15.6125,0,0,0,0.142486,
15.6375,0,0,0,0.141877,
15.6625,0,0,0,0.141266,
15.6875,0,0,0,0.140655,
15.7125,0,0,0,0.140043,
15.7375,0,0,0,0.139431,
15.7625,0,0,0,0.138818,
15.7875,0,0,0,0.138204,
15.8125,0,0,0,0.13759,
15.8375,0,0,0,0.136975,
15.8625,0,0,0,0.136359,
15.8875,0,0,0,0.135743,
15.9125,0,0,0,0.135126,
15.9375,0,0,0,0.134509,
15.9625,0,0,0,0.133891,
15.9875,0,0,0,0.133273,
16.0125,0,0,0,0.132654,
16.0375,0,0,0,0.132035,
16.0625,0,0,0,0.131415,
16.0875,0,0,0,0.130795,
16.1125,0,0,0,0.130175,
16.1375,0,0,0,0.129554,
16.1625,0,0,0,0.128932,
16.1875,0,0,0,0.128311,
16.2125,0,0,0,0.127688,
16.2375,0,0,0,0.127066,
16.2625,0,0,0,0.126443,
16.2875,0,0,0,0.12582,
16.3125,0,0,0,0.125196,
16.3375,0,0,0,0.124572,
16.3625,0,0,0,0.123948,
16.3875,0,0,0,0.123324,
16.4125,0,0,0,0.122699,
16.4375,0,0,0,0.122074,
16.4625,0,0,0,0.121448,
16.4875,0,0,0,0.120823,
16.5125,0,0,0,0.120197,
16.5375,0,0,0,0.119571,
16.5625,0,0,0,0.118944,
16.5875,0,0,0,0.118318,
16.6125,0,0,0,0.117691,
16.6375,0,0,0,0.117064,
16.6625,0,0,0,0.116437,
16.6875,0,0,0,0.11581,
16.7125,0,0,0,0.115182,
16.7375,0,0,0,0.114555,
16.7625,0,0,0,0.113927,
16.7875,0,0,0,0.113299,
16.8125,0,0,0,0.112671,
16.8375,0,0,0,0.112042,
16.8625,0,0,0,0.111414,
16.8875,0,0,0,0.110786,
16.9125,0,0,0,0.110157,
16.9375,0,0,0,0.109528,
16.9625,0,0,0,0.1089,
16.9875,0,0,0,0.108271,
17.0125,0,0,0,0.107642,
17.0375,0,0,0,0.107013,
17.0625,0,0,0,0.106384,
17.0875,0,0,0,0.105755,
17.1125,0,0,0,0.105126,
17.1375,0,0,0,0.104497,
17.1625,0,0,0,0.103867,
17.1875,0,0,0,0.103238,
17.2125,0,0,0,0.102609,
17.2375,0,0,0,0.10198,
17.2625,0,0,0,0.10135,
17.2875,0,0,0,0.100721,
17.3125,0,0,0,0.100092,
17.3375,0,0,0,0.0994625,
17.3625,0,0,0,0.0988333,
17.3875,0,0,0,0.0982041,
17.4125,0,0,0,0.0975749,
17.4375,0,0,0,0.0969458,
17.4625,0,0,0,0.0963167,
17.4875,0,0,0,0.0956876,
17.5125,0,0,0,0.0950586,
17.5375,0,0,0,0.0944297,
17.5625,0,0,0,0.0938008,
17.5875,0,0,0,0.093172,
17.6125,0,0,0,0.0925432,
17.6375,0,0,0,0.0919146,
17.6625,0,0,0,0.091286,
17.6875,0,0,0,0.0906575,
17.7125,0,0,0,0.0900291,
17.7375,0,0,0,0.0894008,
17.7625,0,0,0,0.0887726,
17.7875,0,0,0,0.0881446,
17.8125,0,0,0,0.0875166,
17.8375,0,0,0,0.0868887,
17.8625,0,0,0,0.086261,
17.8875,0,0,0,0.0856334,
17.9125,0,0,0,0.0850059,
17.9375,0,0,0,0.0843786,
17.9625,0,0,0,0.0837514,
17.9875,0,0,0,0.0831244,
18.0125,0,0,0,0.0824974,
18.0375,0,0,0,0.0818707,
18.0625,0,0,0,0.0812441,
18.0875,0,0,0,0.0806177,
18.1125,0,0,0,0.0799914,
18.1375,0,0,0,0.0793653,
18.1625,0,0,0,0.0787394,
18.1875,0,0,0,0.0781136,
18.2125,0,0,0,0.077488,
18.2375,0,0,0,0.0768627,
18.2625,0,0,0,0.0762375,
18.2875,0,0,0,0.0756124,
18.3125,0,0,0,0.0749876,
18.3375,0,0,0,0.074363,
18.3625,0,0,0,0.0737386,
18.3875,0,0,0,0.0731144,
18.4125,0,0,0,0.0724904,
18.4375,0,0,0,0.0718666,
18.4625,0,0,0,0.071243,
18.4875,0,0,0,0.0706197,
18.5125,0,0,0,0.0699965,
18.5375,0,0,0,0.0693736,
18.5625,0,0,0,0.0687509,
18.5875,0,0,0,0.0681285,
18.6125,0,0,0,0.0675062,
18.6375,0,0,0,0.0668843,
18.6625,0,0,0,0.0662625,
18.6875,0,0,0,0.065641,
18.7125,0,0,0,0.0650197,
18.7375,0,0,0,0.0643987,
18.7625,0,0,0,0.063778,
18.7875,0,0,0,0.0631574,
18.8125,0,0,0,0.0625372,
18.8375,0,0,0,0.0619172,
18.8625,0,0,0,0.0612974,
18.8875,0,0,0,0.0606779,
18.9125,0,0,0,0.0600587,
18.9375,0,0,0,0.0594398,
18.9625,0,0,0,0.0588211,
18.9875,0,0,0,0.0582027,
19.0125,0,0,0,0.0575845,
19.0375,0,0,0,0.0569667,
19.0625,0,0,0,0.0563491,
19.0875,0,0,0,0.0557317,
19.1125,0,0,0,0.0551147,
19.1375,0,0,0,0.054498,
19.1625,0,0,0,0.0538815,
19.1875,0,0,0,0.0532653,
19.2125,0,0,0,0.0526494,
19.2375,0,0,0,0.0520338,
19.2625,0,0,0,0.0514184,
19.2875,0,0,0,0.0508034,
19.3125,0,0,0,0.0501886,
19.3375,0,0,0,0.0495742,
19.3625,0,0,0,0.04896,
19.3875,0,0,0,0.0483461,
19.4125,0,0,0,0.0477325,
19.4375,0,0,0,0.0471192,
19.4625,0,0,0,0.0465062,
19.4875,0,0,0,0.0458935,
